Company,Licence Number,Licence Status,Surface Location,UWI,Field/Area Name,Pool/Deposit Name,"Final Total Depth, m",Last Volumetric Activity Date,"Last Annual Oil Prod, m³","Last Annual Gas Prod, 10³m³","Last Annual Water Prod, m³",,status,,SCVF or GM History,Well Deviation,Cement Top,Casing Failure History,Well Age,Suspended Well Status  Date,H2S,Land Use,Protection of Useable Water Aquifers,Proximity to Nearest Water Well,Well Accessibility,TVD (mKB),Well Operation type,TOTAL SCORE,,SCVF or GM History (4),Well Deviation (3),Cement Top (3),Casing Failure History (3),Well Age (3),Suspended Well Status  Date (3),H2S (4),Land Use (4),Protection of Useable Water Aquifers(3),Proximity to Nearest Water Well (2) ,Well Accessibility (3),TVD (mKB) (2),Well Operation type (3),total score
Accurate Energy Solutions Ltd. A6NC,186635,Amended,04-18-092-10W5,00/04-18-092-10W5/2,JOAN,SL PT UND,"1,540.00",2014-12-01,"2,454.10",52.7,318,,Producing,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Advantage Well Servicing Ltd. A2M8,132210,Issued,08-07-053-13W5,00/08-07-053-13W5/0,CARROT CREEK,CARDIUM H,"1,633.00",2013-11-01,22.8,213.7,1.9,,Abandoned,,Not Tested,Vertical with well logs,C.T. > 1000 mKB,No Historical Casing Failure,Spud 1986-1997,Sept. 1994 - Aug. 2003,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",500m < WSW ≤ 1 km,Access clear 5m setback,1000-1999 mKB,Flowing oil well,1620,,20,3,18,6,9,9,28,16,15,6,9,8,15,1620
Allstar Energy Limited 0B1F,227187,Issued,14-19-053-07W5,00/14-19-053-07W5/2,,,"1,720.00",,,,,,Producing,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Allstar Energy Limited 0B1F,289927,Issued,14-19-053-07W5,02/14-19-053-07W5/0,,,96,,,,,,Producing,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alston Energy Inc. A5MK,70490,Issued,07-29-038-03W4,00/07-29-038-03W4/0,,,823,,,,,,Drilled & Cased,,Not Tested,Vertical with well logs,Unknown,No Historical Casing Failure,Spud 1975-1985 faulty casing history,Before August 1991,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 100 m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1720,,20,3,21,6,15,15,28,16,15,12,9,6,6,1720
Alston Energy Inc. A5MK,70490,Issued,07-29-038-03W4,00/07-29-038-03W4/2,PROVOST,REX UND,823,2009-02-01,10.8,0,7.9,,Abandoned,,Not Tested,Vertical with well logs,Unknown,No Historical Casing Failure,Spud 1975-1985 faulty casing history,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 100 m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,Flowing oil well,1690,,20,3,21,6,15,3,28,16,15,12,9,6,15,1690
Alston Energy Inc. A5MK,139363,Issued,05-29-038-03W4,A0/05-29-038-03W4/0,PROVOST,DINA GGG,858,1994-12-01,,,,,Abandoned,,Not Tested,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud 1986-1997,Sept. 1994 - Aug. 2003,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",500m < WSW ≤ 1 km,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1450,,20,3,12,6,9,9,28,16,15,6,9,6,6,1450
Alston Energy Inc. A5MK,140258,Issued,05-29-038-03W4,B0/05-29-038-03W4/0,PROVOST,DINA GGG,851,2014-10-01,,,,,Abandoned / Water Disposal,,Not Tested,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud 1986-1997,Before August 1991,No H2S,Priority 4: Agriculture,"Useable Water, Aquifers Protected",500m < WSW ≤ 1 km,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,"Class 2,3 and CO2 injectin/Disoposal Wells",1390,,20,3,12,6,9,15,4,16,15,6,9,6,18,1390
Alston Energy Inc. A5MK,141029,Issued,03-29-038-03W4,C0/03-29-038-03W4/0,PROVOST,DINA GGG,852,2009-01-01,282.4,48.1,"17,523.50",,Abandoned,,Not Tested,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud 1986-1997,2008+,No H2S,Priority 4: Agriculture,"Useable Water, Aquifers Protected",500m < WSW ≤ 1 km,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,Flowing oil well,1240,,20,3,12,6,9,3,4,16,15,6,9,6,15,1240
Alston Energy Inc. A5MK,141390,Issued,04-29-038-03W4,C0/04-29-038-03W4/0,PROVOST,DINA GGG,855,2000-02-01,,,,,Abandoned,,Not Tested,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud 1986-1997,2008+,No H2S,Priority 4: Agriculture,"Useable Water, Aquifers Protected",500m < WSW ≤ 1 km,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1150,,20,3,12,6,9,3,4,16,15,6,9,6,6,1150
